entity,accrual_id,description,amount_local,amount_usd,currency,status,accrual_date,reversal_date,notes
ENT100,ACR-2025-08-ENT100-001,Professional Fees Accrual,29408.57,29408.57,USD,Should Reverse,2025-08-31,2025-09-01,Reversal failed - manual intervention required
ENT100,ACR-2025-08-ENT100-002,Utilities Accrual,10457.84,10457.84,USD,Active,2025-08-31,2025-09-01,Automated utilities accrual
ENT100,ACR-2025-08-ENT100-003,Rent Accrual,9092.13,9092.13,USD,Active,2025-08-31,2025-09-01,Automated rent accrual
ENT100,ACR-2025-08-ENT100-004,Utilities Accrual,5699.82,5699.82,USD,Active,2025-08-31,2025-09-01,Automated utilities accrual
ENT101,ACR-2025-08-ENT101-001,Rent Accrual,12207.81,12207.81,EUR,Active,2025-08-31,2025-09-01,Automated rent accrual
ENT101,ACR-2025-08-ENT101-002,Utilities Accrual,5144.09,5144.09,EUR,Active,2025-08-31,2025-09-01,Automated utilities accrual
ENT101,ACR-2025-08-ENT101-003,Consulting Services Accrual,22219.99,22219.99,EUR,Active,2025-08-31,2025-09-01,Automated consulting services accrual
ENT101,ACR-2025-08-ENT101-004,Insurance Accrual,7274.03,7274.03,EUR,Active,2025-08-31,2025-09-01,Automated insurance accrual
ENT102,ACR-2025-08-ENT102-001,Payroll Accrual,28042.42,28042.42,GBP,Active,2025-08-31,2025-09-01,Automated payroll accrual
ENT102,ACR-2025-08-ENT102-002,Insurance Accrual,6042.4,6042.4,GBP,Active,2025-08-31,2025-09-01,Automated insurance accrual
