period,entity,account,balance,balance_usd
2025-08,ENT100,1000,506053.86,506053.86
2025-08,ENT100,1100,273599.88,273599.88
2025-08,ENT100,1200,177447.9,177447.9
2025-08,ENT100,1300,1138087.63,1138087.63
2025-08,ENT100,1400,72200.98,72200.98
2025-08,ENT100,1500,287370.73,287370.73
2025-08,ENT100,1600,348322.16,348322.16
2025-08,ENT100,1700,496479.87,496479.87
2025-08,ENT100,2000,-509411.42,-509411.42
2025-08,ENT100,2100,-803034.15,-803034.15
2025-08,ENT100,2200,-689320.11,-689320.11
2025-08,ENT100,2300,809469.08,809469.08
2025-08,ENT100,2400,-491888.12,-491888.12
2025-08,ENT100,2500,-1013416.03,-1013416.03
2025-08,ENT100,3000,689675.7,689675.7
2025-08,ENT100,3100,995215.64,995215.64
2025-08,ENT100,4000,9599488.0,9599488.0
2025-08,ENT100,4100,7768962.14,7768962.14
2025-08,ENT100,4200,1059518.29,1059518.29
2025-08,ENT100,4300,10774512.68,10774512.68
2025-08,ENT100,5000,-2884680.08,-2884680.08
2025-08,ENT100,5100,-4150423.83,-4150423.83
2025-08,ENT100,5200,-262407.2,-262407.2
2025-08,ENT100,6000,-520429.69,-520429.69
2025-08,ENT100,6100,-5789434.1,-5789434.1
2025-08,ENT100,6200,-4891716.75,-4891716.75
2025-08,ENT100,6300,-1209590.77,-1209590.77
2025-08,ENT100,7000,7841979.19,7841979.19
2025-08,ENT100,7100,-4672967.2,-4672967.2
2025-08,ENT100,7200,95745.5,95745.5
2025-08,ENT100,8000,-1420352.4,-1420352.4
2025-08,ENT100,8100,2146293.69,2146293.69
2025-08,ENT100,8200,-1002799.99,-1002799.99
2025-08,ENT101,1000,125444.76,125444.76
2025-08,ENT101,1100,445215.29,445215.29
2025-08,ENT101,1200,720958.71,720958.71
2025-08,ENT101,1300,952216.67,952216.67
2025-08,ENT101,1400,855409.08,855409.08
2025-08,ENT101,1500,1053838.15,1053838.15
2025-08,ENT101,1600,629567.19,629567.19
2025-08,ENT101,1700,616724.52,616724.52
2025-08,ENT101,2000,-869066.34,-869066.34
2025-08,ENT101,2100,-1056538.0,-1056538.0
2025-08,ENT101,2200,-438057.31,-438057.31
2025-08,ENT101,2300,1027912.44,1027912.44
2025-08,ENT101,2400,-302592.78,-302592.78
2025-08,ENT101,2500,-760623.51,-760623.51
2025-08,ENT101,3000,991543.93,991543.93
2025-08,ENT101,3100,4680510.17,4680510.17
2025-08,ENT101,4000,12437240.67,12437240.67
2025-08,ENT101,4100,11731619.22,11731619.22
2025-08,ENT101,4200,11648816.49,11648816.49
2025-08,ENT101,4300,4258161.03,4258161.03
2025-08,ENT101,5000,-2868415.46,-2868415.46
2025-08,ENT101,5100,-1180856.68,-1180856.68
2025-08,ENT101,5200,-3599387.2,-3599387.2
2025-08,ENT101,6000,-4017186.24,-4017186.24
2025-08,ENT101,6100,-3308053.14,-3308053.14
2025-08,ENT101,6200,-2556968.43,-2556968.43
2025-08,ENT101,6300,-182112.41,-182112.41
2025-08,ENT101,7000,12237498.5,12237498.5
2025-08,ENT101,7100,-3920815.35,-3920815.35
2025-08,ENT101,7200,-67720.45,-67720.45
2025-08,ENT101,8000,-2516537.36,-2516537.36
2025-08,ENT101,8100,1160153.88,1160153.88
2025-08,ENT101,8200,-3740785.47,-3740785.47
2025-08,ENT102,1000,306587.3,306587.3
2025-08,ENT102,1100,456780.0,456780.0
2025-08,ENT102,1200,1098277.7,1098277.7
2025-08,ENT102,1300,1358214.71,1358214.71
2025-08,ENT102,1400,758384.02,758384.02
2025-08,ENT102,1500,1073881.13,1073881.13
2025-08,ENT102,1600,196071.99,196071.99
2025-08,ENT102,1700,399039.62,399039.62
2025-08,ENT102,2000,-1090203.1,-1090203.1
2025-08,ENT102,2100,-1228646.09,-1228646.09
2025-08,ENT102,2200,-651427.63,-651427.63
2025-08,ENT102,2300,303010.72,303010.72
2025-08,ENT102,2400,-433500.09,-433500.09
2025-08,ENT102,2500,-1206824.74,-1206824.74
2025-08,ENT102,3000,2539423.51,2539423.51
2025-08,ENT102,3100,4929010.22,4929010.22
2025-08,ENT102,4000,17081231.64,17081231.64
2025-08,ENT102,4100,6181755.58,6181755.58
2025-08,ENT102,4200,1984636.83,1984636.83
2025-08,ENT102,4300,7626170.97,7626170.97
2025-08,ENT102,5000,-1836336.07,-1836336.07
2025-08,ENT102,5100,-5510475.3,-5510475.3
2025-08,ENT102,5200,-5622704.22,-5622704.22
2025-08,ENT102,6000,-6203760.02,-6203760.02
2025-08,ENT102,6100,-6049848.93,-6049848.93
2025-08,ENT102,6200,-2452355.46,-2452355.46
2025-08,ENT102,6300,-2274595.27,-2274595.27
2025-08,ENT102,7000,4386295.42,4386295.42
2025-08,ENT102,7100,-4293217.32,-4293217.32
2025-08,ENT102,7200,179444.46,179444.46
2025-08,ENT102,8000,-2626595.49,-2626595.49
2025-08,ENT102,8100,7243758.44,7243758.44
2025-08,ENT102,8200,-4611969.66,-4611969.66
