period,currency,usd_rate,rate_date
2025-08,USD,1.0000,2025-08-01
2025-08,USD,1.0000,2025-08-15
2025-08,USD,1.0000,2025-08-31
2025-08,EUR,1.0827,2025-08-01
2025-08,EUR,1.0945,2025-08-15
2025-08,EUR,1.0891,2025-08-31
2025-08,GBP,1.2874,2025-08-01
2025-08,GBP,1.2756,2025-08-15
2025-08,GBP,1.2815,2025-08-31
2025-08,JPY,0.0069,2025-08-01
2025-08,JPY,0.0071,2025-08-15
2025-08,JPY,0.0070,2025-08-31
2025-08,CHF,1.1161,2025-08-01
2025-08,CHF,1.1089,2025-08-15
2025-08,CHF,1.1125,2025-08-31
2025-08,CAD,0.7374,2025-08-01
2025-08,CAD,0.7298,2025-08-15
2025-08,CAD,0.7336,2025-08-31
2025-08,BRL,0.1996,2025-08-01
2025-08,BRL,0.1875,2025-08-15
2025-08,BRL,0.1934,2025-08-31
2025-08,AUD,0.6543,2025-08-01
2025-08,AUD,0.6612,2025-08-15
2025-08,AUD,0.6578,2025-08-31
2025-08,CNY,0.1389,2025-08-01
2025-08,CNY,0.1402,2025-08-15
2025-08,CNY,0.1395,2025-08-31
2025-08,INR,0.0120,2025-08-01
2025-08,INR,0.0119,2025-08-15
2025-08,INR,0.0121,2025-08-31
2025-08,MXN,0.0567,2025-08-01
2025-08,MXN,0.0589,2025-08-15
2025-08,MXN,0.0578,2025-08-31
