period,entity,invoice_id,vendor_name,invoice_date,due_date,amount_local,amount_usd,currency,status,description,bill_date,vendor,amount
2025-08,ENT102,AP050000,Google Corporation,2025-08-02,2025-09-01,66953.76,100000,GBP,Disputed,Google - Professional Services,2025-08-02,Google Corporation,100000
2025-08,ENT100,AP050001,Google Corporation,2025-08-30,2025-09-29,76588.72,76588.72,USD,Outstanding,Google - Professional Services,2025-08-30,Google Corporation,76588.72
2025-08,ENT100,AP050002,IBM Corporation,2025-08-16,2025-09-15,50729.05,50729.05,USD,Paid,IBM - Professional Services,2025-08-16,IBM Corporation,50729.05
2025-08,ENT100,AP050003,Amazon Corporation,2025-08-13,2025-09-12,5204.76,25000,USD,Paid,Amazon - Professional Services,2025-08-13,Amazon Corporation,25000
2025-08,ENT101,AP050004,Cisco Corporation,2025-08-10,2025-09-09,45185.71,48800.57,EUR,Disputed,Cisco - Professional Services,2025-08-10,Cisco Corporation,48800.57
2025-08,ENT102,AP050005,Cisco Corporation,2025-08-05,2025-09-04,23040.3,29261.18,GBP,Outstanding,Cisco - Professional Services,2025-08-05,Cisco Corporation,29261.18
2025-08,ENT100,AP050006,Microsoft Corporation,2025-08-24,2025-09-23,34792.46,34792.46,USD,Outstanding,Microsoft - Professional Services,2025-08-24,Microsoft Corporation,34792.46
2025-08,ENT102,AP050007,Cisco Corporation,2025-08-17,2025-09-16,92341.78,117274.06,GBP,Disputed,Cisco - Professional Services,2025-08-17,Cisco Corporation,117274.06
2025-08,ENT100,AP050008,Microsoft Corporation,2025-08-31,2025-09-30,53243.71,53243.71,USD,Outstanding,Microsoft - Professional Services,2025-08-31,Microsoft Corporation,53243.71
2025-08,ENT100,AP050009,Google Corporation,2025-08-22,2025-09-21,86872.82,86872.82,USD,Paid,Google - Professional Services,2025-08-22,Google Corporation,86872.82
2025-08,ENT100,AP050010,Oracle Corporation,2025-08-19,2025-09-18,61479.32,61479.32,USD,Disputed,Oracle - Professional Services,2025-08-19,Oracle Corporation,61479.32
2025-08,ENT100,AP050011,IBM Corporation,2025-08-22,2025-09-21,60448.87,25000,USD,Disputed,IBM - Professional Services,2025-08-22,IBM Corporation,25000
2025-08,ENT101,AP050012,SAP Corporation,2025-08-07,2025-09-06,68623.97,74113.89,EUR,Paid,SAP - Professional Services,2025-08-07,SAP Corporation,74113.89
2025-08,ENT100,AP050013,SAP Corporation,2025-08-13,2025-09-12,17433.44,17433.44,USD,Disputed,SAP - Professional Services,2025-08-13,SAP Corporation,17433.44
