period,entity,account,account_name,balance_usd,balance_local,local_currency,balance_manipulation_risk,expense_shifting_risk,reserve_manipulation,classification_error
2025-08,ENT100,1000,Cash and Cash Equivalents,323319.13,323319.13,USD,False,False,False,False
2025-08,ENT100,1010,Petty Cash,22255.27,22255.27,USD,False,False,False,False
2025-08,ENT100,1020,Money Market,144764.37,144764.37,USD,False,False,False,False
2025-08,ENT100,1100,Accounts Receivable,119373.26,119373.26,USD,False,False,False,True
2025-08,ENT100,1110,Notes Receivable,370870.89,370870.89,USD,False,False,False,False
2025-08,ENT100,1200,Allowance for Doubtful Accounts,-341582.75,-341582.75,USD,False,False,False,False
2025-08,ENT100,1300,Raw Materials,447167.99,447167.99,USD,False,False,False,False
2025-08,ENT100,1310,Work in Process,52600.03,52600.03,USD,False,False,False,False
2025-08,ENT100,1320,Finished Goods,216741.69,216741.69,USD,False,False,False,False
2025-08,ENT100,1400,Prepaid Insurance,24600.64,24600.64,USD,False,False,False,False
2025-08,ENT100,1410,Prepaid Rent,117132.61,117132.61,USD,False,False,False,False
2025-08,ENT100,1420,Prepaid Software,257624.09,257624.09,USD,False,False,False,False
2025-08,ENT100,1500,Land,23002.63,23002.63,USD,False,False,False,True
2025-08,ENT100,1510,Buildings,107430.45,107430.45,USD,False,False,False,False
2025-08,ENT100,1520,Equipment,328443.37,328443.37,USD,False,False,False,False
2025-08,ENT100,1530,Vehicles,277021.33,277021.33,USD,True,False,False,False
2025-08,ENT100,1600,Accumulated Depreciation - Buildings,-118015.9,-118015.9,USD,False,False,False,False
2025-08,ENT100,1610,Accumulated Depreciation - Equipment,-298740.19,-298740.19,USD,False,False,False,False
2025-08,ENT100,1700,Short-term Investments,406620.92,406620.92,USD,False,False,False,False
2025-08,ENT100,1710,Long-term Investments,13184.39,13184.39,USD,False,False,True,False
2025-08,ENT100,1800,Patents,404851.43,404851.43,USD,False,False,False,False
2025-08,ENT100,1810,Trademarks,352088.3,352088.3,USD,False,False,False,False
2025-08,ENT100,1820,Goodwill,176722.75,176722.75,USD,False,False,False,False
2025-08,ENT100,2000,Accounts Payable,-55089.05,-55089.05,USD,False,False,False,True
2025-08,ENT100,2010,Accrued Expenses,-287591.79,-287591.79,USD,False,False,False,False
2025-08,ENT100,2020,Payroll Liabilities,-107612.42,-107612.42,USD,True,False,False,True
2025-08,ENT100,2030,Tax Payable,-36896.29,-36896.29,USD,False,False,False,False
2025-08,ENT100,2040,Interest Payable,-38047.75,-38047.75,USD,True,False,False,False
2025-08,ENT100,2050,Customer Deposits,-255773.37,-255773.37,USD,False,False,False,False
2025-08,ENT100,2100,Bank Loans,-185080.55,-185080.55,USD,False,False,False,False
2025-08,ENT100,2110,Bonds Payable,-244067.2,-244067.2,USD,False,False,False,False
2025-08,ENT100,2120,Mortgage Payable,-221622.22,-221622.22,USD,False,False,False,False
2025-08,ENT100,2200,Deferred Revenue,-165506.15,-165506.15,USD,False,False,False,False
2025-08,ENT100,2210,Pension Obligations,-292203.57,-292203.57,USD,False,False,False,False
2025-08,ENT100,3000,Common Stock,-409607.66,-409607.66,USD,False,False,False,False
2025-08,ENT100,3010,Preferred Stock,-574438.6,-574438.6,USD,False,False,True,False
2025-08,ENT100,3020,Additional Paid-in Capital,-837934.43,-837934.43,USD,False,False,False,False
2025-08,ENT100,3030,Retained Earnings,-637593.76,-637593.76,USD,False,False,False,False
2025-08,ENT100,3040,Treasury Stock,-868621.56,-868621.56,USD,False,False,False,False
2025-08,ENT100,3050,Accumulated OCI,-598484.54,-598484.54,USD,False,False,False,False
2025-08,ENT100,4000,Product Sales,-734114.65,-734114.65,USD,False,False,False,False
2025-08,ENT100,4010,Service Revenue,-141241.95,-141241.95,USD,False,False,False,False
2025-08,ENT100,4020,Licensing Revenue,-305108.45,-305108.45,USD,False,False,False,True
2025-08,ENT100,4030,Interest Income,-360449.17,-360449.17,USD,False,False,False,False
2025-08,ENT100,4040,Other Revenue,-171812.78,-171812.78,USD,False,False,False,False
2025-08,ENT100,5000,Cost of Goods Sold,154755.9,154755.9,USD,False,False,False,False
2025-08,ENT100,5010,Direct Labor,95450.64,95450.64,USD,False,False,True,False
2025-08,ENT100,5020,Manufacturing Overhead,175088.12,175088.12,USD,False,False,False,False
2025-08,ENT100,6000,Salaries & Wages,336058.0,336058.0,USD,False,True,False,False
2025-08,ENT100,6010,Benefits,214174.48,214174.48,USD,False,True,False,False
2025-08,ENT100,6020,Rent,216581.44,216581.44,USD,False,False,False,False
2025-08,ENT100,6030,Utilities,144278.16,144278.16,USD,False,False,False,False
2025-08,ENT100,6040,Insurance,170140.02,170140.02,USD,False,False,False,False
2025-08,ENT100,6050,Professional Fees,471494.56,471494.56,USD,False,False,False,False
2025-08,ENT100,6060,Marketing,341615.92,341615.92,USD,False,False,False,False
2025-08,ENT100,6070,Travel,324108.95,324108.95,USD,False,False,False,False
2025-08,ENT100,6080,Office Supplies,127012.39,127012.39,USD,False,False,False,False
2025-08,ENT100,6090,Software Licenses,378107.06,378107.06,USD,False,False,False,False
2025-08,ENT100,6100,Depreciation,123531.12,123531.12,USD,False,False,False,False
2025-08,ENT100,7000,Interest Expense,220754.95,220754.95,USD,False,False,False,False
2025-08,ENT100,7010,Bank Fees,495285.51,495285.51,USD,False,False,False,True
2025-08,ENT100,8000,Other Expenses,337999.89,337999.89,USD,False,False,False,False
2025-08,ENT100,9000,Income Tax Expense,300627.38,300627.38,USD,False,False,False,False
2025-08,ENT101,1000,Cash and Cash Equivalents,345460.98,317824.1,EUR,False,True,True,False
2025-08,ENT101,1010,Petty Cash,422997.44,389157.65,EUR,False,False,False,False
2025-08,ENT101,1020,Money Market,390239.96,359020.76,EUR,False,False,False,False
2025-08,ENT101,1100,Accounts Receivable,122233.56,112454.87,EUR,False,False,False,False
2025-08,ENT101,1110,Notes Receivable,25729.12,23670.79,EUR,False,False,False,False
2025-08,ENT101,1200,Allowance for Doubtful Accounts,-164571.99,-151406.23,EUR,False,False,False,False
2025-08,ENT101,1300,Raw Materials,141193.03,129897.59,EUR,False,False,False,False
2025-08,ENT101,1310,Work in Process,113381.59,104311.07,EUR,False,False,False,False
2025-08,ENT101,1320,Finished Goods,472025.76,434263.7,EUR,False,False,True,False
2025-08,ENT101,1400,Prepaid Insurance,439420.14,404266.53,EUR,False,False,False,False
2025-08,ENT101,1410,Prepaid Rent,164192.16,151056.79,EUR,False,False,False,False
2025-08,ENT101,1420,Prepaid Software,331164.95,304671.75,EUR,False,False,False,False
2025-08,ENT101,1500,Land,203859.63,187550.86,EUR,False,False,False,False
2025-08,ENT101,1510,Buildings,458128.32,421478.05,EUR,False,False,False,False
2025-08,ENT101,1520,Equipment,234837.41,216050.42,EUR,False,False,False,False
2025-08,ENT101,1530,Vehicles,139791.28,128607.98,EUR,False,False,False,False
2025-08,ENT101,1600,Accumulated Depreciation - Buildings,-130847.48,-120379.68,EUR,False,False,False,False
2025-08,ENT101,1610,Accumulated Depreciation - Equipment,-285070.39,-262264.75,EUR,False,False,False,False
2025-08,ENT101,1700,Short-term Investments,138743.39,127643.92,EUR,False,False,False,False
2025-08,ENT101,1710,Long-term Investments,296447.14,272731.36,EUR,False,False,False,False
2025-08,ENT101,1800,Patents,449933.21,413938.56,EUR,False,False,False,False
2025-08,ENT101,1810,Trademarks,205706.25,189249.75,EUR,False,False,False,False
2025-08,ENT101,1820,Goodwill,117467.17,108069.8,EUR,False,False,False,False
2025-08,ENT101,2000,Accounts Payable,-299285.91,-275343.03,EUR,True,False,False,False
2025-08,ENT101,2010,Accrued Expenses,-157762.63,-145141.62,EUR,False,False,False,False
2025-08,ENT101,2020,Payroll Liabilities,-36363.73,-33454.63,EUR,False,False,False,False
2025-08,ENT101,2030,Tax Payable,-23663.75,-21770.65,EUR,False,False,False,False
2025-08,ENT101,2040,Interest Payable,-41798.25,-38454.39,EUR,False,False,False,False
2025-08,ENT101,2050,Customer Deposits,-191959.35,-176602.6,EUR,False,False,False,False
2025-08,ENT101,2100,Bank Loans,-239703.02,-220526.77,EUR,False,False,False,False
2025-08,ENT101,2110,Bonds Payable,-132426.39,-121832.28,EUR,False,False,False,False
2025-08,ENT101,2120,Mortgage Payable,-28423.03,-26149.19,EUR,False,False,False,False
2025-08,ENT101,2200,Deferred Revenue,-120669.59,-111016.03,EUR,False,False,False,False
2025-08,ENT101,2210,Pension Obligations,-298875.2,-274965.18,EUR,False,False,False,False
2025-08,ENT101,3000,Common Stock,-552658.63,-508445.94,EUR,False,False,False,False
2025-08,ENT101,3010,Preferred Stock,-972524.46,-894722.5,EUR,False,False,False,False
2025-08,ENT101,3020,Additional Paid-in Capital,-867740.72,-798321.46,EUR,False,False,False,False
