transaction_date,amount,description,counterparty
2025-08-10 00:00:00,6716,For owner just billion style hear senior.,James-Conway
2025-08-19 00:00:00,-7233,Push truth hear page.,Wood-Thomas
2025-08-25 00:00:00,-8944,Husband easy parent side role employee.,Ramos PLC
2025-08-24 00:00:00,-3760,Author street final magazine your authority.,Lee-Ramirez
2025-08-20 00:00:00,8882,Risk music law weight short future answer.,"King, Webster and Brown"
2025-08-03 00:00:00,-1634,Leader early tell hope.,Howell PLC
2025-08-07 00:00:00,8792,Ever hold usually floor black.,Phelps-Edwards
2025-08-10 00:00:00,-3944,Nation most idea outside know allow.,"Gutierrez, Martin and Lee"
2025-08-06 00:00:00,-7890,Tend on management research space way.,Evans-Burns
2025-08-08,23415,Transfer from Account #YYY,Internal Transfer
2025-08-23 00:00:00,9279,Action understand physical year.,Jennings-Hughes
2025-08-21 00:00:00,9124,Individual could production.,"King, Webster and Brown"
2025-08-06 00:00:00,644,Firm man record television conference.,"Suarez, Walker and Mitchell"
2025-08-28 00:00:00,4311,Foot leader each key.,Horne Group
2025-08-22 00:00:00,-9098,Big break maybe majority past large.,"Cooper, Morgan and Miller"
2025-08-14 00:00:00,-9923,Responsibility ball accept blue really kid six.,Smith Inc
2025-08-22 00:00:00,4528,Security network parent money thousand eat.,Barrera Group
2025-08-02 00:00:00,2556,Answer condition performance true radio station.,Hernandez-Rojas
2025-08-06 00:00:00,-2971.009344913801,Can soon something American however happy.,Walsh Inc
2025-08-24 00:00:00,2964,Tend party ball.,Mcfarland-Kelley
2025-08-21 00:00:00,8216,Congress discover financial.,Anderson-Reed
2025-08-13 00:00:00,7149,Dog young computer easy. Word training plant.,Alvarez-Padilla
2025-08-05 00:00:00,-9331,Body guy participant money federal.,Terry-Rogers
2025-08-09 00:00:00,5442,Author partner catch left system church simply.,"Webster, Garza and Abbott"
2025-08-29 00:00:00,-5384,Firm to source conference. Take seek sign go.,"Cooper, Morgan and Miller"
2025-08-18 00:00:00,-7197,Heavy eat owner book style.,Navarro Inc
2025-08-09 00:00:00,-9951,Power east general tonight.,Nixon LLC
2025-08-08 00:00:00,-3254,Network share ten road safe.,Ortiz-Smith
2025-08-07 00:00:00,-30000,Off respond serious everything example need.,Cash Advance Inc.
2025-08-09 00:00:00,8041.5769864032845,Note there act difference oil.,"Carpenter, Burton and Oneal"
2025-08-10 00:00:00,-9470.085699335561,Black speak attorney outside science follow.,"Murillo, Lee and Lopez"
2025-08-11 00:00:00,-8963,Station full material many.,Powell-Bennett
2025-08-02 00:00:00,-6399,Save party down avoid the work want relate.,"Suarez, Walker and Mitchell"
2025-08-14 00:00:00,-9950,Upon forget expect question test there.,"Wilson, Madden and Austin"
2025-08-21 00:00:00,-2750.782350059414,Cost student treatment similar she return you.,Aguilar Group
2025-08-06 00:00:00,-7449,Behind return then especially.,"Ayala, Mayo and Houston"
2025-08-09 00:00:00,7643,Note tax according.,Perez Ltd
2025-08-20 00:00:00,-6554,Free large party so road prevent strategy.,Bell and Sons
2025-08-04 00:00:00,-9664.623829265123,Newspaper small him hard news water nothing.,Ford-Morgan
2025-08-19 00:00:00,-6778,Husband dinner successful she office.,"Martin, Payne and Stewart"
2025-08-01 00:00:00,1208,Medical effort kitchen kid operation campaign.,Frey-Diaz
2025-08-15 00:00:00,8110,Class approach necessary past Mr personal stuff.,Clements PLC
2025-08-07 00:00:00,7329,Some until low wife share increase.,Bell and Sons
2025-08-03 00:00:00,3092,Decade fast support manager lay middle charge.,Davis Group
2025-08-06 00:00:00,-3664.509534377788,Can soon something American however happy.,Walsh Inc
2025-08-11 00:00:00,6409,Type organization today sort bank ok keep thank.,"Ortiz, Hoffman and Fuller"
2025-08-04 00:00:00,791.7975482351595,Seek travel maintain.,Brown-Haas
2025-08-25 00:00:00,-6294.269426318854,Shake hold myself born keep.,Lewis-Hayes
2025-08-30 00:00:00,-29998,Word thing main sure central.,Immediate Funding Inc.
2025-08-24 00:00:00,-317,Forget office bag beyond new matter.,Vazquez Group
2025-08-03 00:00:00,-9205,Computer picture less per only.,"Gutierrez, Martin and Lee"
2025-08-23 00:00:00,-9652,Sign effort foreign.,Nelson Ltd
2025-08-01 00:00:00,-6096,Usually a after time section human support.,Moore PLC
2025-08-28 00:00:00,-582,To right sing structure.,"Martin, Payne and Stewart"
2025-08-29 00:00:00,637,Leader might process.,Juarez Group
2025-08-19 00:00:00,-29573,Rock half threat describe.,Cash Advance Inc.
2025-08-30 00:00:00,-6741,Your catch available risk.,Clements PLC
2025-08-16 00:00:00,-35924.28258359858,Run training general left water.,Cash Advance Inc.
